date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2016-12-02,pátek,37.0,964.0,1001.0,,
2016-12-03,sobota,0.0,562.0,562.0,,
2016-12-04,neděle,0.0,292.0,292.0,,
2016-12-05,pondělí,128.0,53.0,181.0,,
2016-12-06,úterý,123.0,72.0,195.0,,
2016-12-07,středa,200.0,76.0,276.0,,
2016-12-08,čtvrtek,203.0,48.0,251.0,,
2016-12-09,pátek,26.0,85.0,111.0,,
2016-12-10,sobota,0.0,559.0,559.0,,
2016-12-11,neděle,0.0,310.0,310.0,,
2016-12-12,pondělí,36.0,15.0,51.0,,
2016-12-13,úterý,205.0,71.0,276.0,,
2016-12-14,středa,58.0,50.0,108.0,,
2016-12-15,čtvrtek,97.0,171.0,268.0,,
2016-12-16,pátek,86.0,61.0,147.0,,
2016-12-17,sobota,0.0,601.0,601.0,,
2016-12-18,neděle,0.0,376.0,376.0,,
2016-12-19,pondělí,458.0,133.0,591.0,,
2016-12-20,úterý,288.0,133.0,421.0,,
2016-12-21,středa,202.0,584.0,786.0,,
2016-12-22,čtvrtek,456.0,200.0,656.0,,
2016-12-23,pátek,0.0,186.0,186.0,,
2016-12-24,sobota,0.0,0.0,0.0,,zavřeno
2016-12-25,neděle,0.0,0.0,0.0,,zavřeno
2016-12-26,pondělí,0.0,337.0,337.0,,
2016-12-27,úterý,0.0,971.0,971.0,,
2016-12-28,středa,0.0,1364.0,1364.0,,
2016-12-29,čtvrtek,0.0,1391.0,1391.0,,
2016-12-30,pátek,0.0,1007.0,1007.0,,
2016-12-31,sobota,0.0,384.0,384.0,,
2017-01-01,neděle,0.0,0.0,0.0,,zavřeno
2017-01-02,pondělí,0.0,272.0,272.0,,
2017-01-03,úterý,0.0,82.0,82.0,,
2017-01-04,středa,0.0,85.0,85.0,,
2017-01-05,čtvrtek,58.0,57.0,115.0,,
2017-01-06,pátek,13.0,75.0,88.0,,
2017-01-07,sobota,0.0,322.0,322.0,,
2017-01-08,neděle,0.0,127.0,127.0,,
2017-01-09,pondělí,0.0,23.0,23.0,,
