iter	Passed	Remaining
669	9176	18216
670	9192	18207
671	9204	18189
672	9222	18185
673	9235	18169
674	9248	18155
675	9261	18139
676	9274	18124
677	9289	18114
678	9303	18100
679	9315	18082
680	9327	18065
681	9339	18048
682	9350	18030
683	9362	18013
684	9376	18000
685	9390	17987
686	9402	17970
687	9413	17952
688	9425	17934
689	9437	17918
690	9449	17901
691	9461	17882
692	9472	17865
693	9483	17847
694	9495	17830
695	9508	17813
696	9521	17799
697	9532	17781
698	9545	17766
699	9558	17750
700	9573	17739
701	9588	17729
702	9605	17721
703	9622	17714
704	9638	17704
705	9654	17694
706	9671	17688
707	9687	17679
708	9702	17667
709	9717	17656
710	9732	17645
711	9746	17631
712	9759	17616
713	9771	17600
714	9784	17584
715	9796	17568
716	9812	17557
717	9823	17540
718	9836	17524
719	9848	17508
720	9859	17490
721	9872	17475
722	9887	17463
723	9900	17448
724	9915	17437
725	9926	17419
726	9939	17404
727	9951	17387
728	9965	17373
729	9976	17356
730	9988	17340
731	10000	17323
732	10012	17307
733	10023	17289
734	10035	17271
735	10046	17253
736	10057	17235
737	10068	17218
738	10079	17199
739	10091	17182
740	10102	17164
741	10114	17148
742	10125	17130
743	10136	17112
744	10148	17095
745	10160	17078
746	10171	17061
747	10183	17044
748	10194	17027
749	10205	17009
750	10217	16993
751	10229	16976
752	10241	16960
753	10254	16945
754	10265	16927
755	10276	16910
756	10288	16893
757	10299	16876
758	10310	16858
759	10322	16842
760	10335	16826
761	10346	16809
762	10357	16791
763	10369	16775
764	10381	16759
765	10394	16744
766	10405	16727
767	10416	16709
768	10427	16692
769	10439	16675
770	10450	16658
771	10461	16641
772	10472	16623
773	10484	16606
774	10495	16589
775	10507	16573
776	10518	16555
777	10529	16538
778	10540	16521
779	10551	16504
780	10563	16487
781	10574	16469
782	10585	16452
783	10596	16435
784	10607	16418
785	10620	16403
786	10632	16387
787	10643	16370
788	10655	16353
789	10666	16337
790	10679	16322
791	10690	16306
792	10702	16290
793	10714	16274
794	10726	16258
795	10738	16242
796	10749	16225
797	10761	16210
798	10773	16193
799	10786	16179
800	10798	16163
801	10812	16151
802	10830	16144
803	10845	16133
804	10863	16126
805	10878	16115
806	10895	16106
807	10912	16098
808	10927	16086
809	10940	16073
810	10957	16064
811	10970	16050
812	10984	16037
813	10996	16022
814	11009	16007
815	11022	15993
816	11035	15978
817	11047	15963
818	11059	15947
819	11071	15932
820	11083	15916
821	11095	15900
822	11108	15886
823	11122	15873
824	11136	15861
825	11152	15850
826	11166	15838
827	11179	15823
828	11192	15810
829	11205	15795
830	11220	15784
831	11234	15770
832	11249	15760
833	11262	15746
834	11276	15732
835	11288	15717
836	11300	15701
837	11312	15686
838	11323	15669
839	11335	15653
840	11348	15639
841	11361	15625
842	11379	15618
843	11392	15603
844	11403	15587
845	11416	15572
846	11428	15557
847	11439	15541
848	11451	15524
849	11462	15508
850	11473	15491
851	11484	15474
852	11496	15458
853	11507	15442
854	11519	15426
855	11530	15410
856	11542	15393
857	11553	15377
858	11564	15361
859	11575	15344
860	11586	15328
861	11598	15312
862	11611	15298
863	11623	15282
864	11634	15266
865	11646	15250
866	11657	15234
867	11668	15218
868	11680	15202
869	11691	15185
870	11703	15170
871	11716	15156
872	11730	15142
873	11744	15130
874	11756	15115
875	11768	15100
876	11780	15085
877	11793	15070
878	11805	15055
879	11817	15040
880	11829	15025
881	11842	15011
882	11855	14997
883	11868	14983
884	11880	14967
885	11893	14953
886	11905	14939
887	11918	14924
888	11929	14909
889	11941	14893
890	11954	14879
891	11966	14864
892	11978	14849
893	11990	14834
894	12003	14819
895	12015	14804
896	12027	14790
897	12040	14775
898	12053	14761
899	12064	14745
900	12079	14733
901	12091	14719
902	12105	14705
903	12119	14694
904	12142	14691
905	12156	14679
906	12173	14670
907	12191	14662
908	12210	14655
909	12227	14646
910	12243	14636
911	12260	14626
912	12277	14617
913	12296	14610
914	12312	14599
915	12324	14584
916	12339	14573
917	12354	14561
918	12368	14548
919	12381	14534
920	12393	14519
921	12406	14505
922	12421	14493
923	12434	14480
924	12447	14466
925	12460	14451
926	12472	14437
927	12485	14423
928	12499	14409
929	12512	14396
930	12527	14383
931	12541	14371
932	12555	14358
933	12567	14343
934	12579	14329
935	12593	14315
936	12606	14302
937	12619	14287
938	12631	14273
939	12644	14258
940	12657	14244
941	12671	14231
942	12684	14217
943	12697	14203
944	12709	14189
945	12722	14175
946	12735	14161
947	12749	14147
948	12761	14133
949	12774	14119
950	12787	14105
951	12799	14090
952	12814	14078
953	12828	14065
954	12842	14052
955	12854	14038
956	12866	14023
957	12880	14009
958	12892	13995
959	12908	13984
960	12923	13971
961	12937	13960
962	12951	13946
963	12963	13931
964	12976	13917
965	12990	13905
966	13004	13891
967	13017	13877
968	13030	13863
969	13043	13849
970	13055	13835
971	13067	13820
972	13079	13804
973	13091	13790
974	13103	13775
975	13114	13759
976	13126	13744
977	13139	13730
978	13151	13716
979	13163	13700
980	13176	13686
981	13188	13672
982	13200	13657
983	13212	13642
984	13225	13628
985	13237	13613
986	13250	13599
987	13262	13585
988	13274	13570
989	13286	13555
990	13299	13540
991	13310	13525
992	13323	13510
993	13335	13496
994	13348	13482
995	13362	13469
996	13377	13457
997	13391	13445
998	13404	13431
999	13418	13418
1000	13431	13404
1001	13446	13393
1002	13464	13384
1003	13480	13373
1004	13493	13359
1005	13506	13345
1006	13519	13331
1007	13531	13317
1008	13544	13302
1009	13556	13288
1010	13568	13272
1011	13580	13258
1012	13593	13244
1013	13605	13229
1014	13618	13215
1015	13631	13201
1016	13644	13187
1017	13656	13173
1018	13670	13160
1019	13684	13148
1020	13697	13134
1021	13712	13122
1022	13725	13107
1023	13737	13093
1024	13749	13079
1025	13762	13064
1026	13775	13051
1027	13787	13036
1028	13799	13022
1029	13812	13007
